Id,rdf_label,rdf_type,brick_isPartOf,brick_isFedBy
Room_17.06,Acc WC 17.06,brick:Restroom,L17,
Room_17.07,Lobby 17.07,brick:Lobby,L17,
Room_17.08,Elec Plantroom 17.08,brick:Electrical_Room,L17,
Room_17.09,Services Lobby 17.09,brick:Lobby,L17,
Room_17.10,Lobby 17.10,brick:Lobby,L17,
Room_17.11,Services Lobby 17.11,brick:Lobby,L17,
Room_17.12,Plantroom 17.12,brick:Mechanical_Room,L17,
Room_17.13,Lobby 17.13,brick:Lobby,L17,
Room_17.31,T.Elec 17.31,brick:Electrical_Room,L17,
Room_17.32,T.Elec 17.32,brick:Electrical_Room,L17,
Room_17.33,T.Comms 17.33,brick:Communications_Room,L17,
Room_17.34,H.Comms 17.34,brick:Communications_Room,L17,
Room_17.41,Fire Equipment 17.41,brick:Room,L17,
Room_17.42,T.Comms 17.42,brick:Communications_Room,L17,
Room_17.46,DAS 17.46,brick:Communications_Room,L17,
Room_17.51,Fire Equipment 17.51,brick:Room,L17,
Room_17.53,HV Riser 17.53,brick:Electrical_Room,L17,
Room_17.54,T.Comms 17.54,brick:Communications_Room,L17,
Room_17.55,Diesel Fuel 17.55,brick:Room,L17,
Room_18.01,Fire Stair 18.01,brick:Room,L18,
Room_18.02,Fire Stair 18.02,brick:Room,L18,
Room_18.03,Office 18.03,brick:Room,L18,
Room_18.04,Male WC 18.04,brick:Restroom,L18,
Room_18.05,Female WC 18.05,brick:Restroom,L18,
Room_18.06,Acc WC 18.06,brick:Restroom,L18,
Room_18.07,Lobby 18.07,brick:Lobby,L18,
Room_18.08,Elec Plantroom 18.08,brick:Electrical_Room,L18,
Room_18.09,Services Lobby 18.09,brick:Lobby,L18,
Room_18.10,Lobby 18.10,brick:Lobby,L18,
Room_18.11,Services Lobby 18.11,brick:Lobby,L18,
Room_18.12,Plantroom 18.12,brick:Mechanical_Room,L18,
Room_18.13,Lobby 18.13,brick:Lobby,L18,
Room_18.31,T.Elec 18.31,brick:Electrical_Room,L18,
Room_18.32,T.Elec 18.32,brick:Electrical_Room,L18,
Room_18.33,T.Comms 18.33,brick:Communications_Room,L18,
Room_18.34,H.Comms 18.34,brick:Communications_Room,L18,
Room_18.41,Fire Equipment 18.41,brick:Room,L18,
Room_18.42,T.Comms 18.42,brick:Communications_Room,L18,
Room_18.46,DAS 18.46,brick:Communications_Room,L18,
Room_18.51,Fire Equipment 18.51,brick:Room,L18,
Room_18.53,HV Riser 18.53,brick:Electrical_Room,L18,
Room_18.54,T.Comms 18.54,brick:Communications_Room,L18,
Room_18.55,Diesel Fuel 18.55,brick:Room,L18,
Room_19.01,Fire Stair 19.01,brick:Room,L19,
Room_19.02,Fire Stair 19.02,brick:Room,L19,
Room_19.03,Office 19.03,brick:Room,L19,
Room_19.04,Male WC 19.04,brick:Restroom,L19,
Room_19.05,Female WC 19.05,brick:Restroom,L19,
Room_19.06,Acc WC 19.06,brick:Restroom,L19,
Room_19.07,Lobby 19.07,brick:Lobby,L19,
Room_19.08,Elec Plantroom 19.08,brick:Electrical_Room,L19,
Room_19.09,Services Lobby 19.09,brick:Lobby,L19,
Room_19.10,Lobby 19.10,brick:Lobby,L19,
Room_19.11,Services Lobby 19.11,brick:Lobby,L19,
Room_19.12,Plantroom 19.12,brick:Mechanical_Room,L19,
Room_19.13,Lobby 19.13,brick:Lobby,L19,
Room_19.31,T.Elec 19.31,brick:Electrical_Room,L19,
Room_19.32,T.Elec 19.32,brick:Electrical_Room,L19,
Room_19.33,T.Comms 19.33,brick:Communications_Room,L19,
Room_19.34,H.Comms 19.34,brick:Communications_Room,L19,
Room_19.41,Fire Equipment 19.41,brick:Room,L19,
Room_19.42,T.Comms 19.42,brick:Communications_Room,L19,
Room_19.46,DAS 19.46,brick:Communications_Room,L19,
Room_19.51,Fire Equipment 19.51,brick:Room,L19,
Room_19.53,HV Riser 19.53,brick:Electrical_Room,L19,
Room_19.54,T.Comms 19.54,brick:Communications_Room,L19,
Room_19.55,Diesel Fuel 19.55,brick:Room,L19,
Room_20.01,Fire Stair 20.01,brick:Room,L20,
Room_20.02,Fire Stair 20.02,brick:Room,L20,
Room_20.03,Office 20.03,brick:Room,L20,
Room_20.04,Male WC 20.04,brick:Restroom,L20,
Room_20.05,Female WC 20.05,brick:Restroom,L20,
Room_20.06,Acc WC 20.06,brick:Restroom,L20,
Room_20.07,Lobby 20.07,brick:Lobby,L20,
Room_20.08,Elec Plantroom 20.08,brick:Electrical_Room,L20,
Room_20.09,Services Lobby 20.09,brick:Lobby,L20,
Room_20.10,Lobby 20.10,brick:Lobby,L20,
Room_20.11,Services Lobby 20.11,brick:Lobby,L20,
Room_20.12,Plantroom 20.12,brick:Mechanical_Room,L20,
Room_20.13,Lobby 20.13,brick:Lobby,L20,
Room_20.31,T.Elec 20.31,brick:Electrical_Room,L20,
Room_20.32,T.Elec 20.32,brick:Electrical_Room,L20,
Room_20.33,T.Comms 20.33,brick:Communications_Room,L20,
Room_20.34,H.Comms 20.34,brick:Communications_Room,L20,
Room_20.41,Fire Equipment 20.41,brick:Room,L20,
Room_20.42,T.Comms 20.42,brick:Communications_Room,L20,
Room_20.46,DAS 20.46,brick:Communications_Room,L20,
Room_20.51,Fire Equipment 20.51,brick:Room,L20,
Room_20.53,HV Riser 20.53,brick:Electrical_Room,L20,
Room_20.54,T.Comms 20.54,brick:Communications_Room,L20,
Room_20.55,Diesel Fuel 20.55,brick:Room,L20,
Room_21.01,Fire Stair 21.01,brick:Room,L21,
Room_21.02,Fire Stair 21.02,brick:Room,L21,
Room_21.03,Office 21.03,brick:Room,L21,
Room_21.04,Male WC 21.04,brick:Restroom,L21,
Room_21.05,Female WC 21.05,brick:Restroom,L21,
Room_21.06,Acc WC 21.06,brick:Restroom,L21,
Room_21.07,Lobby 21.07,brick:Lobby,L21,
Room_21.08,Elec Plantroom 21.08,brick:Electrical_Room,L21,
Room_21.09,Services Lobby 21.09,brick:Lobby,L21,
Room_21.10,Lobby 21.10,brick:Lobby,L21,
Room_21.11,Services Lobby 21.11,brick:Lobby,L21,
Room_21.12,Plantroom 21.12,brick:Mechanical_Room,L21,
Room_21.13,Lobby 21.13,brick:Lobby,L21,
Room_21.31,T.Elec 21.31,brick:Electrical_Room,L21,
Room_21.32,T.Elec 21.32,brick:Electrical_Room,L21,
Room_21.33,T.Comms 21.33,brick:Communications_Room,L21,
Room_21.34,H.Comms 21.34,brick:Communications_Room,L21,
Room_21.41,Fire Equipment 21.41,brick:Room,L21,
Room_21.42,T.Comms 21.42,brick:Communications_Room,L21,
Room_21.46,DAS 21.46,brick:Communications_Room,L21,
Room_21.51,Fire Equipment 21.51,brick:Room,L21,
Room_21.53,HV Riser 21.53,brick:Electrical_Room,L21,
Room_21.54,T.Comms 21.54,brick:Communications_Room,L21,
Room_21.55,Diesel Fuel 21.55,brick:Room,L21,
Room_22.01,Fire Stair 22.01,brick:Room,L22,
Room_22.02,Fire Stair 22.02,brick:Room,L22,
Room_22.03,Office 22.03,brick:Room,L22,
Room_22.04,Male WC 22.04,brick:Restroom,L22,
Room_22.05,Female WC 22.05,brick:Restroom,L22,
Room_22.06,Acc WC 22.06,brick:Restroom,L22,
Room_22.07,Lobby 22.07,brick:Lobby,L22,
Room_22.08,Elec Plantroom 22.08,brick:Electrical_Room,L22,
Room_22.09,Services Lobby 22.09,brick:Lobby,L22,
Room_22.10,Lobby 22.10,brick:Lobby,L22,
Room_22.11,Services Lobby 22.11,brick:Lobby,L22,
Room_22.12,Plantroom 22.12,brick:Mechanical_Room,L22,
Room_22.13,Lobby 22.13,brick:Lobby,L22,
Room_22.31,T.Elec 22.31,brick:Electrical_Room,L22,
Room_22.32,T.Elec 22.32,brick:Electrical_Room,L22,
Room_22.33,T.Comms 22.33,brick:Communications_Room,L22,
Room_22.34,H.Comms 22.34,brick:Communications_Room,L22,
Room_22.41,Fire Equipment 22.41,brick:Room,L22,
Room_22.42,T.Comms 22.42,brick:Communications_Room,L22,
Room_22.46,DAS 22.46,brick:Communications_Room,L22,
Room_22.51,Fire Equipment 22.51,brick:Room,L22,
Room_22.53,HV Riser 22.53,brick:Electrical_Room,L22,
Room_22.54,T.Comms 22.54,brick:Communications_Room,L22,
Room_22.55,Diesel Fuel 22.55,brick:Room,L22,
Room_23.01,Fire Stair 23.01,brick:Room,L23,
Room_23.02,Fire Stair 23.02,brick:Room,L23,
Room_23.03,Office 23.03,brick:Room,L23,
Room_23.04,Male WC 23.04,brick:Restroom,L23,
Room_23.05,Female WC 23.05,brick:Restroom,L23,
Room_23.06,Acc WC 23.06,brick:Restroom,L23,
Room_23.07,Lobby 23.07,brick:Lobby,L23,
Room_23.08,Elec Plantroom 23.08,brick:Electrical_Room,L23,
Room_23.09,Services Lobby 23.09,brick:Lobby,L23,
Room_23.10,Lobby 23.10,brick:Lobby,L23,
Room_23.11,Services Lobby 23.11,brick:Lobby,L23,
Room_23.12,Plantroom 23.12,brick:Mechanical_Room,L23,
Room_23.13,Lobby 23.13,brick:Lobby,L23,
Room_23.14,Services Lobby 23.14,brick:Lobby,L23,
Room_23.33,T.Comms 23.33,brick:Communications_Room,L23,
Room_23.34,H.Comms 23.34,brick:Communications_Room,L23,
Room_23.41,Fire Equipment 23.41,brick:Room,L23,
Room_23.42,T.Comms 23.42,brick:Communications_Room,L23,
Room_23.46,DAS 23.46,brick:Communications_Room,L23,
Room_23.51,Fire Equipment 23.51,brick:Room,L23,
Room_23.53,HV Riser 23.53,brick:Electrical_Room,L23,
Room_23.54,T.Comms 23.54,brick:Communications_Room,L23,
Room_23.55,Diesel Fuel 23.55,brick:Room,L23,
Room_24.01,Fire Stair 24.01,brick:Room,L24,
Room_24.02,Fire Stair 24.02,brick:Room,L24,
Room_24.05,Plantroom 24.05,brick:Mechanical_Room,L24,
Room_24.06,Unisex WC 24.06,brick:Restroom,L24,
Room_24.08,Elec Plantroom 24.08,brick:Electrical_Room,L24,
Room_24.09,Services Lobby 24.09,brick:Lobby,L24,
Room_24.10,Plantroom 24.10,brick:Mechanical_Room,L24,
Room_24.11,Services Lobby 24.11,brick:Lobby,L24,
Room_24.12,Plantroom 24.12,brick:Mechanical_Room,L24,
Room_24.13,Plantroom 24.13,brick:Mechanical_Room,L24,
Room_24.15,House Generator Room 24.15,brick:Generator_Room,L24,
Room_24.16,Generator Main Switchboard Room 24.16,brick:Generator_Room,L24,
Room_24.17,Main Switchroom 24.17,brick:Electrical_Room,L24,
Room_24.18,Plantroom 24.18,brick:Mechanical_Room,L24,
Room_24.19,Personnel Access Chamber 24.19,brick:Electrical_Room,L24,
Room_24.20,Substation 24.20,brick:Electrical_Room,L24,
Room_24.21,Transformer Access Chamber 24.21,brick:Electrical_Room,L24,
Room_24.22,Personnel Access Chamber 24.22,brick:Electrical_Room,L24,
Room_24.33,T.Comms 24.33,brick:Communications_Room,L24,
Room_24.34,H.Comms 24.34,brick:Communications_Room,L24,
Room_24.41,Fire Equipment 24.41,brick:Room,L24,
Room_24.42,T.Comms 24.42,brick:Communications_Room,L24,
Room_24.51,Fire Equipment 24.51,brick:Room,L24,
Room_24.54,T.Comms 24.54,brick:Communications_Room,L24,
Room_24.55,Diesel Fuel 24.55,brick:Room,L24,
Room_B3.04,Fire Stair B3.04,brick:Staircase,LB3,
Room_B3.11,Fire Stair Lobby B3.11,brick:Lobby,LB3,
Room_B3.12,Fire Hydrant Room B3.12,brick:Room,LB3,
Room_B3.13,Fire Pump & Tank Room B3.13,brick:Pump_Room,LB3,
Room_B3.14,Diesel Pump & Tank Room B3.14,brick:Pump_Room,LB3,
Room_B3.09,Storage B3.09,brick:Storage_Room,LB3,
Room_B3.10,Pedestrian Access B3.10,brick:Space,LB3,
Room_B3.15,Storage B3.15,brick:Storage_Room,LB3,
Room_B3.06,Storage B3.06,brick:Storage_Room,LB3,
Room_B3.01,Storage B3.01,brick:Storage_Room,LB3,
Room_B3.16,Storage B3.16,brick:Storage_Room,LB3,
Room_B3.08,Elec/Comms/Plant/Fe B3.08,brick:Room,LB3,
Room_B3.07,Storage B3.07,brick:Storage_Room,LB3,
Room_B3.17,Pedestrian Access B3.17,brick:Space,LB3,
Room_B3.18,Tenant Condenser B3.18,brick:Room,LB3,
Room_B3.20,Carpark Supply Plenum B3.20,brick:Space,LB3,
Room_B3.63,Storage B3.63,brick:Storage_Room,LB3,
Room_B3.05,Fire Stair B3.05,brick:Staircase,LB3,
Room_B3.61,FS4 Plenum B3.61,brick:Space,LB3,
Room_B3.03,Basement 3 Carpark B3.03,brick:Parking_Level,LB3,
Room_B3.62,Plant B3.62,brick:Mechanical_Room,LB3,
Room_B3.60,Comms Cupboard B3.60,brick:Communications_Room,LB3,
Room_B3.64,Carpark Supply Plenum B3.64,brick:Space,LB3,
Room_B2.19,Fire Hydrant Room B2.19,brick:Room,LB2,
Room_B2.04,Fire Stair B2.04,brick:Staircase,LB2,
Room_B2.09,Storage B2.09,brick:Storage_Room,LB2,
Room_B2.14,Diesel Tank & Pump Room Void B2.14,brick:Space,LB2,
Room_B2.10,Pedestrian Access B2.10,brick:Space,LB2,
Room_B2.13,Fire Systems Pump Tank Room B2.13,brick:Pump_Room,LB2,
Room_B2.07,Storage B2.07,brick:Storage_Room,LB2,
Room_B2.06,Storage B2.06,brick:Storage_Room,LB2,
Room_B2.82,Display Control Room B2.82,brick:Room,LB2,
Room_B2.01,Storage B2.01,brick:Storage_Room,LB2,
Room_B2.15,Storage B2.15,brick:Storage_Room,LB2,
Room_B2.12,Service Shafting B2.12,brick:Room,LB2,
Room_B2.16,Lift Pit Access B2.16,brick:Space,LB2,
Room_B2.02,Fire Stair B2.02,brick:Staircase,LB2,
Room_B2.08,Elec/Comms/Plant/Fe B2.08,brick:Room,LB2,
Room_B2.11,Grease Arrestor Room B2.11,brick:Room,LB2,
Room_B2.18,Tenant Condenser B2.18,brick:Room,LB2,
Room_B2.20,Carpark Exhaust Plenum B2.20,brick:Space,LB2,
Room_B2.83,Storage B2.83,brick:Storage_Room,LB2,
Room_B2.81,Led Media Wall Spares B2.81,brick:Room,LB2,
Room_B2.61,Fs4 Plenum B2.61,brick:Space,LB2,
Room_B2.05,Fire Stair B2.05,brick:Staircase,LB2,
Room_B2.62,Storage B2.62,brick:Storage_Room,LB2,
Room_B2.60,Comms Cupboard B2.60,brick:Communications_Room,LB2,
Room_B2.64,Carpark Supply Plenum B2.64,brick:Space,LB2,
Room_B2.63,Plant B2.63,brick:Mechanical_Room,LB2,
Room_B1.02,Fire Stair B1.02,brick:Staircase,LB1,
Room_B1.07,Storage B1.07,brick:Storage_Room,LB1,
Room_B1.04,Fire Stair B1.04,brick:Staircase,LB1,
Room_B1.09,Retail & Commercial Waste Room B1.09,brick:Waste_Storage,LB1,
Room_B1.41,Substation B1.41,brick:Electrical_Room,LB1,
Room_B1.42,Egress B1.42,brick:Space,LB1,
Room_B1.46,Hv Control Point B1.46,brick:Room,LB1,
Room_B1.35,Switch Room B1.35,brick:Switch_Room,LB1,
Room_B1.03,Loading Area B1.03,brick:Loading_Dock,LB1,
Room_B1.48,Airlock B1.48,brick:Space,LB1,
Room_B1.45,Control Point Access Chamber No 2 B1.45,brick:Space,LB1,
Room_B1.33,Dock Master Room B1.33,brick:Room,LB1,
Room_B1.34,BER02/CER02 B1.34,brick:Server_Room,LB1,
Room_B1.11,Storage B1.11,brick:Storage_Room,LB1,
Room_B1.43,Hv Cable Entry Room B1.43,brick:Room,LB1,
Room_B1.38,Substation Access Chamber No 1 B1.38,brick:Space,LB1,
Room_B1.44,Substation Access Chamber No 2 B1.44,brick:Space,LB1,
Room_B1.37,Control Point Access Chamber No 1 B1.37,brick:Space,LB1,
Room_B1.47,Lift Access B1.47,brick:Space,LB1,
Room_B1.12,Service Shafting B1.12,brick:Room,LB1,
Room_B1.51,Lift Access B1.51,brick:Space,LB1,
Room_B1.01,Storage B1.01,brick:Storage_Room,LB1,
Room_B1.08,Elec/Comms/Plant/Fe B1.08,brick:Room,LB1,
Room_B1.06,Lift Access B1.06,brick:Space,LB1,
Room_B1.62,Fire Hydrant Room B1.62,brick:Room,LB1,
Room_B1.50,Services Lobby B1.50,brick:Lobby,LB1,
Room_B1.53,HV Riser B1.53,brick:Electrical_Room,LB1,
Room_B1.49,Services Lobby B1.49,brick:Lobby,LB1,
Room_B1.36,Egress Corridor B1.36,brick:Space,LB1,
Room_B1.63,Tenant Condenser B1.63,brick:Room,LB1,
Room_B1.64,Carpark Supply Plenum B1.64,brick:Space,LB1,
Room_B1.50,Comms Cupboard B1.50,brick:Communications_Room,LB1,
Room_B1.05,Fire Stair B1.05,brick:Staircase,LB1,
Room_B1.61,Fs4 Plenum B1.61,brick:Space,LB1,
Room_B1.13,Mail Room B1.13,brick:Mail_Room,LB1,
Room_B1.14,Induction Room B1.14,brick:Room,LB1,
Room_B1.21,Staff Kitchen B1.21,brick:Office_Kitchen,LB1,
Room_B1.17,UAT + Shower B1.17,brick:Shower,LB1,
Room_B1.18,Male Change B1.18,brick:Room,LB1,
Room_B1.19,Male WC + Shower B1.19,brick:Restroom,LB1,
Room_B1.22,Female Change B1.22,brick:Room,LB1,
Room_B1.23,Female WC + Shower B1.23,brick:Restroom,LB1,
Room_B1.24,Cleaners Wet Store B1.24,brick:Storage_Room,LB1,
Room_B1.25,Cleaners Dry Store B1.25,brick:Storage_Room,LB1,
Room_B1.26,Cleaners Office B1.26,brick:Room,LB1,
Room_B1.27,BER01 B1.27,brick:Server_Room,LB1,
Room_B1.16,Isp Operation B1.16,brick:Room,LB1,
Room_B1.20,Carpark Supply Fan Room B1.20,brick:Room,LB1,
Room_B1.29,JoG Storage 4 B1.29,brick:Storage_Room,LB1,
Room_B1.31,Jog Grease Arrestor B1.31,brick:Room,LB1,
Room_B1.28,Das Room B1.28,brick:Room,LB1,
Room_B1.30,CER01 B1.30,brick:Server_Room,LB1,
Room_B1.32,Storage 9 B1.32,brick:Storage_Room,LB1,
Room_B1.15,Security Room B1.15,brick:Security_Service_Room,LB1,
Room_B1.60,Comms Cupboard B1.60,brick:Communications_Room,LB1,
Room_B1.05,Fire Stair B1.05,brick:Staircase,LB1,
Room_B1.64,Carpark Supply Plenum B1.64,brick:Space,LB1,
Room_B1.65,Supply Plenum Access B1.65,brick:Space,LB1,
Room_B1.64,Carpark Supply Plenum B1.64,brick:Space,LB1,
Room_B1.66,Hoist Equipment B1.66,brick:Room,LB1,
Room_B1.67,Storage 5 B1.67,brick:Storage_Room,LB1,
Room_B1.68,Storage 6 B1.68,brick:Storage_Room,LB1,
Room_B1.69,Storage 7 B1.69,brick:Storage_Room,LB1,
Room_B1.70,Storage 8 B1.70,brick:Storage_Room,LB1,
Room_B1.71,Corridor B1.71,brick:Space,LB1,
Room_B1M.62,Fire Hydrant Room B1M.62,brick:Room,LB1M,
Room_B1M.04,Fire Stair B1M.04,brick:Staircase,LB1M,
Room_B1M.09,Retail CQT.13 B1M.09,brick:Room,LB1M,
Room_B1M.13,Linen B1M.13,brick:Room,LB1M,
Room_B1M.17,Plant Void B1M.17,brick:Space,LB1M,
Room_B1M.28,Grease Arrestor Room B1M.28,brick:Room,LB1M,
Room_B1M.10,Female WC B1M.10,brick:Restroom,LB1M,
Room_B1M.14,Male WC B1M.14,brick:Restroom,LB1M,
Room_B1M.11,UAT B1M.11,brick:Room,LB1M,
Room_B1M.07,EOT Lobby B1M.07,brick:Lobby,LB1M,
Room_B1M.03,EOT B1M.03,brick:Room,LB1M,
Room_B1M.06,EOT Non-Accessible Area B1M.06,brick:Space,LB1M,
Room_B1M.02,Fire Stair 2 Void B1M.02,brick:Space,LB1M,
Room_B1.12,Service Shafting B1.12,brick:Room,LB1M,
Room_B1M.16,EOT B1M.16,brick:Room,LB1M,
Room_B1M.06,EOT Storage B1M.06,brick:Storage_Room,LB1M,
Room_B1M.08,Elec/Comms/Plant/Fe B1M.08,brick:Room,LB1M,
Room_B1M.53,HV Riser B1M.53,brick:Electrical_Room,LB1M,
Room_B1M.50,Unhabitable Space B1M.50,brick:Space,LB1M,
Room_B1M.15,Lobby B1M.15,brick:Lobby,LB1M,
Room_B1M.18,EOT Change Rooms / Amenities B1M.18,brick:Room,LB1M,
Room_B1M.61,FS4 Plenum B1M.61,brick:Room,LB1M,
Room_B1M.03,Bike Parking B1M.03,brick:Space,LB1M,
Room_B1M.05,Fire Stair B1M.05,brick:Staircase,LB1M,
Room_B1M.60,Comms Cupboard B1M.60,brick:Communications_Room,LB1M,
Room_B1M.25,Lift Lobby B1M.25,brick:Lobby,LB1M,
Room_B1M.20,UAT+SHR RH B1M.20,brick:Room,LB1M,
Room_B1M.21,Entry 1 B1M.21,brick:Space,LB1M,
Room_B1M.22,Entry 2 B1M.22,brick:Space,LB1M,
Room_B1M.23,UAT+SHR LH B1M.23,brick:Room,LB1M,
Room_B1M.24,Storage B1M.24,brick:Storage_Room,LB1M,
Room_B1M.19,Store B1M.19,brick:Room,LB1M,
Room_B1M.26,Store B1M.26,brick:Room,LB1M,
Room_B1M.27,Fire Hydrant Room/FH B1M.27,brick:Room,LB1M,
Room_B1M.05,Fire Stair B1M.05,brick:Staircase,LB1M,
Room_LG.35,Retail CB.02 LG.35,brick:Retail_Room,LLG,
Room_LG.36,Retail CB.03 LG.36,brick:Retail_Room,LLG,
Room_LG.37,Retail CB.04 LG.37,brick:Retail_Room,LLG,
Room_LG.72,UAT + Shower RH LG.72,brick:Shower,LLG,
Room_LG.73,Male Change Room LG.73,brick:Room,LLG,
Room_LG.86,Female Change Room LG.86,brick:Room,LLG,
Room_LG.78,Store Rm1 LG.78,brick:Storage_Room,LLG,
Room_LG.77,UAT + Shower LH LG.77,brick:Shower,LLG,
Room_LG.82,CB Amenities Lobby LG.82,brick:Lobby,LLG,
Room_LG.81,CB Male Amenities LG.81,brick:Room,LLG,
Room_LG.84,CB Female Amenities LG.84,brick:Room,LLG,
Room_LG.96,EOT Access LG.96,brick:Space,LLG,
Room_LG.92,Office LG.92,brick:Room,LLG,
Room_LG.90,Ahu & Elec. Rm LG.90,brick:Room,LLG,
Room_LG.83,CB UAT LG.83,brick:Room,LLG,
Room_LG.80,Hot Water Plant LG.80,brick:Room,LLG,
Room_LG.79,Store Rm2 LG.79,brick:Storage_Room,LLG,
Room_LG.70,PCF Egress LG.70,brick:Room,LLG,
Room_LG.95,Comms LG.95,brick:Communications_Room,LLG,
Room_LG.98,Store Rm4 LG.98,brick:Storage_Room,LLG,
Room_LG.75,Bike Workshop LG.75,brick:Workshop,LLG,
Room_LG.34,Retail CB.01 LG.34,brick:Retail_Room,LLG,
Room_LG.76,CL Store LG.76,brick:Storage_Room,LLG,
Room_LG.74,Bike Area LG.74,brick:Room,LLG,
Room_LG.94,Store Rm3 LG.94,brick:Storage_Room,LLG,
Room_LG.79,Entry Access LG.79,brick:Space,LLG,
Room_LG.05,Fire Stair LG.05,brick:Staircase,LLG,
Room_B1.36,Ausgrid Dedicated Stairway No 5 B1.36,brick:Staircase,LLG,
Room_LG.15,Retail CQT.11 LG.15,brick:Retail_Room,LLG,
Room_LG.16,Retail CQT.10 LG.16,brick:Retail_Room,LLG,
Room_LG.17,Retail CQT.09 LG.17,brick:Retail_Room,LLG,
Room_LG.18,Retail CQT.08 LG.18,brick:Retail_Room,LLG,
Room_LG.10,Waste Area LG.10,brick:Room,LLG,
Room_LG.14,Retail CQT.12 LG.14,brick:Retail_Room,LLG,
Room_LG.20,Retail Male Wc LG.20,brick:Retail_Room,LLG,
Room_LG.21,Retail UAT LG.21,brick:Retail_Room,LLG,
Room_LG.22,Retail Female Wc LG.22,brick:Retail_Room,LLG,
Room_LG.13,BOH LG.13,brick:Room,LLG,
Room_LG.19,Retail CQT.07 LG.19,brick:Retail_Room,LLG,
Room_LG.23,Retail CQT.06 LG.23,brick:Retail_Room,LLG,
Room_LG.24,Retail CQT.05A LG.24,brick:Retail_Room,LLG,
Room_LG.27,Gas Meter Room LG.27,brick:Room,LLG,
Room_LG.33,Retail CQT.15 LG.33,brick:Retail_Room,LLG,
Room_LG.06,Retail CQT.14 LG.06,brick:Retail_Room,LLG,
Room_LG.13,BOH LG.13,brick:Room,LLG,
Room_LG.07,Shared Bis/EOT Lobby LG.07,brick:Lobby,LLG,
Room_LG.04,Fire Stair 3 LG.04,brick:Staircase,LLG,
Room_B1M.09,Retail CQT.13 B1M.09,brick:Retail_Room,LLG,
Room_LG.09,Services Lobby LG.09,brick:Lobby,LLG,
Room_LG.23,Retail CQT.06 LG.23,brick:Retail_Room,LLG,
Room_LG.01,Fire Stair 1 LG.01,brick:Staircase,LLG,
Room_LG.100,Fire Hydrant Room LG.100,brick:Room,LLG,
Room_LG.43,KE LG.43,brick:Room,LLG,
Room_LG.08,Elec/Comms/Plant/Fe LG.08,brick:Room,LLG,
Room_LG.42,Comms LG.42,brick:Communications_Room,LLG,
Room_LG.44,KE LG.44,brick:Room,LLG,
Room_LG.41,Grease Ex / Hyd LG.41,brick:Room,LLG,
Room_LG.40,Comms Cupboard LG.40,brick:Communications_Room,LLG,
Room_LG.25,Retail CQT.05B LG.25,brick:Retail_Room,LLG,
Room_LG.50,T.Comms LG.50,brick:Communications_Room,LLG,
Room_LG.102,Booster Cupboard LG.102,brick:Room,LLG,
Room_LG.07A,Plantroom LG.07A,brick:Mechanical_Room,LLG,
Room_LG.26,Plantroom LG.26,brick:Mechanical_Room,LLG,
Room_LG.101,Car Park Entry / Exit LG.101,brick:Space,LLG,
Room_LG.30,Substation Equipment Hatch Room LG.30,brick:Room,LLG,
Room_LG.32,Fire Control Room LG.32,brick:Room,LLG,
Room_LG.31,Retail CQT.03 LG.31,brick:Retail_Room,LLG,
Room_LG.29,Access LG.29,brick:Space,LLG,
Room_LG.60,Access Corridor LG.60,brick:Room,LLG,
Room_LG.53,HV Riser LG.53,brick:Electrical_Room,LLG,
Room_LG.51,H.Comms LG.51,brick:Communications_Room,LLG,
Room_LG.52,Hyd LG.52,brick:Room,LLG,
Room_LG.11,Lobby LG.11,brick:Lobby,LLG,
Room_LG.55,T.Comms LG.55,brick:Communications_Room,LLG,
Room_LG.02,Fire Stair 2 LG.02,brick:Staircase,LLG,
Room_LG.12,Plantroom LG.12,brick:Mechanical_Room,LLG,
Room_LG.28,Retail CQT.04 LG.28,brick:Retail_Room,LLG,
Room_B1.37,Ausgrid Dedicated Stairway No 6 B1.37,brick:Staircase,LLG,
Room_LG.103,Diesel Fill Point LG.103,brick:Space,LLG,
Room_CQT.01,Retail CQT.01,brick:Space,LUG,
Room_CQT.02,Retail CQT.02,brick:Space,LUG,
Room_UG.09,Services Lobby UG.09,brick:Lobby,LUG,
Room_UG.11,Services Lobby UG.11,brick:Lobby,LUG,
Room_UG.02,Fire Stair UG.02,brick:Staircase,LUG,
Room_UG.01,Fire Stair UG.01,brick:Staircase,LUG,
Room_UG.10,High Rise Lobby UG.10,brick:Lobby,LUG,
Room_UG.07,Mid Rise Lobby UG.07,brick:Lobby,LUG,
Room_UG.13,Low Rise Lobby UG.13,brick:Lobby,LUG,
Room_UG.03,Tower Lobby UG.03,brick:Lobby,LUG,
Room_UG.08,Elec/Comms/Plant/Fe UG.08,brick:Room,LUG,
Room_UG.12,Plantroom UG.12,brick:Mechanical_Room,LUG,
Room_UG.43,KE UG.43,brick:Room,LUG,
Room_UG.42,Comms UG.42,brick:Communications_Room,LUG,
Room_UG.44,KE UG.44,brick:Room,LUG,
Room_UG.41,Grease Ex / Hyd UG.41,brick:Room,LUG,
Room_UG.53,Hv Riser UG.53,brick:Room,LUG,
Room_UG.51,H Comms UG.51,brick:Room,LUG,
Room_UG.50,T.Comms UG.50,brick:Communications_Room,LUG,
Room_UG.55,T.Comms UG.55,brick:Communications_Room,LUG,
